,0,1,2
0,92,30,red
1,-3,41,green
2,39,49,green
3,53,21,green
4,-4,75,green
5,-5,85,green
6,60,53,green
7,89,41,red
8,37,42,green
9,20,-2,green
10,85,69,green
11,73,26,red
12,10,97,red
13,44,41,green
14,30,69,red
15,4,54,red
16,44,18,red
17,77,3,green
18,84,39,green
19,89,33,red
20,54,76,green
21,25,49,green
22,73,33,green
23,21,63,red
24,89,53,red
25,1,84,red
26,4,84,green
27,53,50,green
28,19,67,red
29,75,38,green
30,0,26,red
31,25,69,green
32,6,53,green
33,65,1,green
34,22,-1,red
35,10,18,red
36,32,80,red
37,47,1,green
38,0,46,green
39,99,14,red
40,51,37,green
41,5,67,green
42,37,64,green
43,87,30,red
44,61,45,green
45,57,34,red
46,66,66,green
47,34,6,green
48,14,87,red
49,30,93,green
